"StudentID","Age","Sex","StudyHours","SES","BaselineScore","Height","ExamCorrect","Pass","PracticeProblems","ExamTime"
1,19,1,4.9,0.25,58.4,170.5,18,1,8,39.5
2,18,0,3.3,0.15,50,173,6,1,9,55.8
3,17,0,5.5,0.72,50.5,175.3,8,1,6,90.9
4,17,1,6.6,0.61,75,175.1,14,1,8,34.4
5,18,0,6,-0.28,53.1,175.9,11,1,7,111.4
6,17,0,5.6,0.89,81.1,168.4,16,1,10,34.8
7,18,1,4.8,0.59,52.6,168.7,16,1,6,47.9
8,16,1,6.5,0.7,52,170.9,8,1,11,42.6
9,17,1,16.6,2.81,47.7,160.9,15,1,21,66.9
10,18,1,8.6,0.28,20.4,171.1,4,1,7,42.5
11,17,0,8,-0.51,32.2,169.7,5,0,11,63.4
12,19,1,4,0.42,53.8,178.7,12,1,4,51.8
13,17,1,3.2,-0.27,46.1,169.9,11,0,6,93.1
14,16,0,9.2,-0.77,73.7,168.2,17,1,13,34.1
15,17,1,3.8,-0.38,59,159.2,7,1,5,19.8
16,18,0,8.4,0.11,49,177,9,1,11,63.8
17,18,0,9.2,0.97,67.4,170,16,1,10,31.1
18,17,1,3.9,0.36,46.3,165.6,6,0,8,40.3
19,18,1,7.9,-0.82,57,179,11,0,8,69
20,17,1,9.1,-0.16,62.7,177,15,1,5,54.6
21,18,0,7.3,-1.53,55.5,181.2,9,1,7,61.8
22,18,0,3.6,-0.2,52.2,176.7,10,0,4,66.5
23,17,0,10.7,-1.31,51.8,169.7,14,1,15,46.3
24,17,0,4.4,-1.39,50.5,175.1,9,1,7,48.1
25,18,1,10.8,0.96,72.6,175.5,16,0,10,23.4
26,17,1,1.9,-0.18,55.2,172.6,9,1,3,68.5
27,18,1,6.6,0,44,165,9,1,13,39.5
28,17,1,1.5,0.51,48.6,162.5,7,0,5,81.9
29,17,1,3.5,-0.46,42.8,163.8,6,0,4,53.6
30,19,0,2.4,-0.21,60.2,180.9,12,0,6,49.1
31,16,1,5.2,-0.57,51.5,158.2,10,1,10,54
32,17,1,7.2,-0.35,58.4,172.3,12,1,8,60.4
33,19,1,3.2,-1.05,58.7,166.9,12,0,5,64.6
34,17,1,7.6,0.79,18.4,170.3,1,1,8,125.7
35,18,1,5.9,0.62,44.4,170.8,11,0,3,52.4
36,18,1,10,-0.79,80.9,171.7,16,1,12,36.5
37,17,0,4.7,1.78,57.4,182.3,13,1,6,73.4
38,18,0,2.1,-0.25,53.3,175.3,11,0,9,35.8
39,19,1,5.5,-0.3,61.3,174.4,15,1,6,37.4
40,18,1,6.8,-1.5,61.7,169.6,12,0,7,55.3
41,18,0,7.6,0.03,39.1,179.6,10,0,8,119.3
42,16,1,3.3,-0.91,55.1,172.1,13,0,10,31.8
43,18,1,3.5,0.35,63.7,166.2,11,0,7,76.7
44,18,1,6,0.2,57.8,172.6,12,0,4,51.8
45,17,1,7,0.86,52,160,15,1,7,43.5
46,17,1,6.7,-0.67,52.4,176.1,16,1,5,62.2
47,16,1,6.6,-1.66,42.5,167.5,6,1,5,74.4
48,17,1,18.8,0.39,51.1,175.8,15,1,26,75
49,18,0,10,0.44,59.8,173.4,14,1,8,58.3
50,17,0,11,1.28,46.9,174.1,10,1,11,60.4
51,16,1,8.6,-0.16,55.3,171.2,13,1,6,61.6
52,19,1,8.2,0.5,58,177.2,13,1,13,46.8
53,16,1,7,0.46,66.4,169.5,16,1,7,32.4
54,16,0,6.1,-0.48,35.7,176,8,1,6,79.9
55,18,1,7.2,-1.56,56.6,169.8,9,0,13,15.9
56,19,0,5.9,-0.69,67,179.6,16,1,6,88.7
57,19,1,11.3,0.15,58.9,174.8,18,1,7,25.7
58,17,0,5.9,0.14,32.6,170.5,5,0,4,46.5
59,16,1,4.7,-1.37,53.9,154.9,14,0,6,37.9
